software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date
.NET 10 PQC,,,,,not_found,,2026-04-01
.NET System.Security.Cryptography,,,,,not_found,,2026-04-01
01 Quantum IronCAP,,,,,not_found,,2026-04-01
1Password,,,,,not_found,,2026-04-01
A10 Networks Thunder ADC,,,,,not_found,,2026-04-01
AdGuard DNS,,,,,not_found,,2026-04-01
Adobe Acrobat Sign,,,,,not_found,,2026-04-01
Adva FSP 3000 S-Flex,,,,,not_found,,2026-04-01
Adva Network Security FSP 3000 S-Flex,,,,,not_found,,2026-04-01
Africa Quantum Consortium PQC,,,,,not_found,,2026-04-01
Akamai Connected Cloud,,,,,not_found,,2026-04-01
Akamai Edge,,,,,not_found,,2026-04-01
Akamai PQC Edge,,,,,not_found,,2026-04-01
Algorand,,,,,not_found,,2026-04-01
Algorand FALCON Mainnet,,,,,not_found,,2026-04-01
Alibaba Cloud GVSM,,,,,not_found,,2026-04-01
Alpine Linux,cpe:2.3:o:alpinelinux:alpine_linux:-:*:*:*:*:*:*:*,alpinelinux,alpine_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=alpine%20linux,2026-04-01
Amazon CloudFront,cpe:2.3:a:amazon:amazon_cloudfront:-:*:*:*:*:*:*:*,amazon,amazon_cloudfront,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20cloudfront,2026-04-01
Amazon Cognito,,,,,not_found,,2026-04-01
Amazon EKS,,,,,not_found,,2026-04-01
Amazon Web Services (AWS),,,,,not_found,,2026-04-01
AMD SEV-SNP (Secure Encrypted Virtualization),,,,,not_found,,2026-04-01
AMD Versal Adaptive SoC,,,,,not_found,,2026-04-01
American Binary Ambit Client,,,,,not_found,,2026-04-01
Anchorage Digital,,,,,not_found,,2026-04-01
Android 16,cpe:2.3:o:google:android:-:*:*:*:*:*:*:*,google,android,manual,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=google%20android,2026-04-28
Android 17 PQC,,,,,not_found,,2026-04-01
ANKATech ANKASecure,,,,,not_found,,2026-04-01
ANSSI PQC Migration Guidance,,,,,not_found,,2026-04-01
Apache Guacamole,cpe:2.3:a:apache:guacamole:0.8.3:*:*:*:*:*:*:*,apache,guacamole,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20guacamole,2026-04-01
Apache HTTP Server,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,apache,http_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20http_server,2026-04-01
Apache Tomcat,cpe:2.3:a:apache:tomcat:-:*:*:*:*:*:*:*,apache,tomcat,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20tomcat,2026-04-01
Apache Traffic Server,cpe:2.3:a:apache:traffic_server:2.0.0:*:*:*:*:*:*:*,apache,traffic_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20traffic%20server,2026-04-01
Apple codesign,,,,,not_found,,2026-04-01
Apple PQ3 / CoreCrypto,,,,,not_found,,2026-04-01
Apple Safari,cpe:2.3:a:apple:safari:-:*:*:*:*:*:*:*,apple,safari,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apple%20safari,2026-04-01
Applivery UEM PQC,,,,,not_found,,2026-04-01
AppViewX CERT+,,,,,not_found,,2026-04-01
AppViewX Spring 2026,,,,,not_found,,2026-04-01
Aptos,cpe:2.3:a:aptosfoundation:aptos:1.4.3:*:*:*:*:*:*:*,aptosfoundation,aptos,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=aptos%20aptos,2026-04-01
Arch Linux,cpe:2.3:o:archlinux:arch_linux:-:*:*:*:*:*:*:*,archlinux,arch_linux,manual,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=archlinux%20arch_linux,2026-04-28
Arista EOS (Extensible Operating System),,,,,not_found,,2026-04-01
ARM Confidential Compute Architecture (CCA),,,,,not_found,,2026-04-01
ARM Trusted Firmware (TF-A),cpe:2.3:a:arm:trusted_firmware-a:-:*:*:*:*:*:*:*,arm,trusted_firmware-a,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=arm%20trusted%20firmware%20%28tf-a%29,2026-04-01
